מזהה_בקשה,מחוז,אזור,סוג_מבנה,שטח_מבוקש_מ2,שטח_חקלאי_דונם,מספר_בעלי_חיים,מרחק_מכביש_מטר,מרחק_ממגורים_מטר,גובה_מבנה_מטר,פנלים_סולאריים,ייעוד_חקלאי,עמידה_בתמא,מכתב_המלצה,סטטוס_אישור,סיבת_ההחלטה
AG-2024-0001,מחוז צפון,עמקים,חממת קנאביס רפואי,536,106,0,56.2,727.2,6.6,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0002,מחוז מרכז,שרון,מכון רדייה,617,55,0,11.9,816,7.3,כן,כן,כן,לא,מאושר,""
AG-2024-0003,מחוז צפון,נגב,בית בד,143,143,0,181.7,695.7,6.7,כן,כן,כן,לא,מאושר,""
AG-2024-0004,מחוז ירושלים,גליל,בית בד,606,162,0,80,157.6,1.8,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0005,מחוז חיפה,גולן,סככת ציוד,140,131,0,13.7,608.5,6.7,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0006,מחוז מרכז,גליל,סככת ציוד,82,57,0,145,80.2,6.1,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0007,מחוז תל אביב,גליל,אורווה,32,7,6,132.6,44.2,10.6,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0008,מחוז צפון,שפלה,חממה,1784,90,0,108.8,406.7,4.5,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0009,מחוז חיפה,בקעת הירדן,בית אריזה תות שדה,155,143,0,25.1,457.6,4.8,לא,כן,כן,כן,מאושר,""
AG-2024-0010,מחוז דרום,נגב,בית אריזה פרחים,547,154,0,144.4,296.6,7,לא,כן,כן,כן,מאושר,""
AG-2024-0011,מחוז חיפה,גליל,בית אריזה תות שדה,59,56,0,47.1,596.4,5.7,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0012,מחוז תל אביב,שרון,רפת,204,166,33,168.9,896.9,3.9,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0013,מחוז חיפה,ערבה,חממת קנאביס רפואי,566,62,0,10.8,238.5,10.8,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0014,מחוז ירושלים,שרון,מחסן חקלאי,578,113,0,28.8,602.2,5.4,לא,כן,כן,לא,מאושר,""
AG-2024-0015,מחוז דרום,נגב,אורווה,128,163,7,5.6,190,10.9,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ; מרחק מכביש נמוך"
AG-2024-0016,מחוז דרום,בקעת הירדן,בית אריזה,162,178,0,70.1,546.8,7.7,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0017,מחוז תל אביב,נגב,רפת,644,53,239,42,284.4,3.8,לא,כן,כן,כן,מאושר,""
AG-2024-0018,מחוז תל אביב,חוף הכרמל,יקב,756,190,0,96,891.9,11.2,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0019,מחוז צפון,גולן,מכון רדייה,447,162,0,106.6,723.5,3.5,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0020,מחוז צפון,גליל,בית אריזה תות שדה,271,46,0,38.4,298.4,4.2,לא,כן,כן,כן,מאושר,""
AG-2024-0021,מחוז דרום,ערבה,יקב,689,74,0,65.7,191.7,10.9,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0022,מחוז דרום,נגב,בית אריזה,737,65,0,176.9,891.8,1.7,כן,כן,כן,לא,מאושר,""
AG-2024-0023,מחוז ירושלים,גולן,כבשייה,258,197,473,151.7,40.6,4.9,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0024,מחוז חיפה,שפלה,רפת,521,123,219,67.8,668.5,2.5,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0025,מחוז ירושלים,גליל,רפת,277,73,80,130.6,117.5,10.9,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0026,מחוז מרכז,חוף הכרמל,חממת קנאביס רפואי,1042,124,0,88.6,203.4,9.4,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0027,מחוז תל אביב,בקעת הירדן,חממת קנאביס רפואי,822,48,0,110.4,814.8,8.4,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
